item	cond	subject	rt	region.id	correct_answer	accuracy
1	a	1m1	297	hd1	Y	1
1	a	1m1	360	Det+CL	Y	1
1	a	1m1	313	FreqP	Y	1
1	a	1m1	312	head	Y	1
1	a	1m1	359	Adv	Y	1
1	a	1m1	297	hd3	Y	1
1	a	1m1	281	hd2	Y	1
1	a	1m1	297	DE	Y	1
1	a	1m1	344	VN	Y	1
1	a	1m1	359	hd5	Y	1
1	a	1m1	313	hd4	Y	1
1	a	1m13	282	DE	N	0
1	a	1m13	469	hd1	N	0
1	a	1m13	218	head	N	0
1	a	1m13	281	Det+CL	N	0
1	a	1m13	250	VN	N	0
1	a	1m13	297	FreqP	N	0
1	a	1m13	313	hd2	N	0
1	a	1m13	266	Adv	N	0
1	a	1m13	407	hd5	N	0
1	a	1m13	296	hd3	N	0
1	a	1m13	250	hd4	N	0
1	a	1m17	375	hd1	Y	1
1	a	1m17	250	Adv	Y	1
1	a	1m17	375	DE	Y	1
1	a	1m17	329	Det+CL	Y	1
1	a	1m17	360	hd4	Y	1
1	a	1m17	375	FreqP	Y	1
1	a	1m17	281	hd3	Y	1
1	a	1m17	422	hd2	Y	1
1	a	1m17	250	head	Y	1
1	a	1m17	296	hd5	Y	1
1	a	1m17	328	VN	Y	1
1	a	1m21	281	Det+CL	Y	1
1	a	1m21	297	hd4	Y	1
1	a	1m21	406	hd1	Y	1
1	a	1m21	531	hd5	Y	1
1	a	1m21	359	FreqP	Y	1
1	a	1m21	313	head	Y	1
1	a	1m21	313	hd2	Y	1
1	a	1m21	313	Adv	Y	1
1	a	1m21	437	DE	Y	1
1	a	1m21	312	VN	Y	1
1	a	1m21	312	hd3	Y	1
1	a	1m25	313	hd2	Y	1
1	a	1m25	296	Adv	Y	1
1	a	1m25	281	hd1	Y	1
1	a	1m25	281	head	Y	1
1	a	1m25	312	hd3	Y	1
1	a	1m25	438	VN	Y	1
1	a	1m25	329	DE	Y	1
1	a	1m25	421	FreqP	Y	1
1	a	1m25	593	hd5	Y	1
1	a	1m25	313	hd4	Y	1
1	a	1m25	313	Det+CL	Y	1
1	a	1m5	297	hd2	Y	1
1	a	1m5	250	hd1	Y	1
1	a	1m5	266	hd4	Y	1
1	a	1m5	250	FreqP	Y	1
1	a	1m5	266	VN	Y	1
1	a	1m5	266	hd5	Y	1
1	a	1m5	282	head	Y	1
1	a	1m5	281	hd3	Y	1
1	a	1m5	297	Det+CL	Y	1
1	a	1m5	312	DE	Y	1
1	a	1m5	343	Adv	Y	1
1	a	1m9	485	VN	Y	1
1	a	1m9	407	hd1	Y	1
1	a	1m9	578	FreqP	Y	1
1	a	1m9	312	hd2	Y	1
1	a	1m9	531	hd5	Y	1
1	a	1m9	297	head	Y	1
1	a	1m9	328	DE	Y	1
1	a	1m9	375	hd4	Y	1
1	a	1m9	641	Det+CL	Y	1
1	a	1m9	359	Adv	Y	1
1	a	1m9	406	hd3	Y	1
1	a	2m1	407	hd4	Y	1
1	a	2m1	390	hd1	Y	1
1	a	2m1	344	VN	Y	1
1	a	2m1	438	head	Y	1
1	a	2m1	532	Det+CL	Y	1
1	a	2m1	344	hd2	Y	1
1	a	2m1	484	hd5	Y	1
1	a	2m1	344	FreqP	Y	1
1	a	2m1	359	hd3	Y	1
1	a	2m1	343	Adv	Y	1
1	a	2m1	312	DE	Y	1
1	a	2m13	359	hd4	Y	1
1	a	2m13	328	VN	Y	1
1	a	2m13	344	hd3	Y	1
1	a	2m13	265	hd2	Y	1
1	a	2m13	609	Adv	Y	1
1	a	2m13	282	DE	Y	1
1	a	2m13	422	Det+CL	Y	1
1	a	2m13	250	head	Y	1
1	a	2m13	281	hd1	Y	1
1	a	2m13	266	hd5	Y	1
1	a	2m13	437	FreqP	Y	1
1	a	2m17	625	hd4	Y	1
1	a	2m17	484	DE	Y	1
1	a	2m17	390	hd2	Y	1
1	a	2m17	781	Det+CL	Y	1
1	a	2m17	1485	hd1	Y	1
1	a	2m17	750	hd3	Y	1
1	a	2m17	1078	hd5	Y	1
1	a	2m17	437	Adv	Y	1
1	a	2m17	422	head	Y	1
1	a	2m17	641	FreqP	Y	1
1	a	2m17	469	VN	Y	1
1	a	2m21	500	hd3	N	0
1	a	2m21	375	Det+CL	N	0
1	a	2m21	312	hd4	N	0
1	a	2m21	485	hd1	N	0
1	a	2m21	297	hd2	N	0
1	a	2m21	312	Adv	N	0
1	a	2m21	281	VN	N	0
1	a	2m21	1000	FreqP	N	0
1	a	2m21	500	hd5	N	0
1	a	2m21	359	DE	N	0
1	a	2m21	265	head	N	0
1	a	2m5	1156	VN	Y	1
1	a	2m5	328	hd4	Y	1
1	a	2m5	391	hd2	Y	1
1	a	2m5	422	Det+CL	Y	1
1	a	2m5	391	head	Y	1
1	a	2m5	344	hd3	Y	1
1	a	2m5	282	Adv	Y	1
1	a	2m5	625	hd5	Y	1
1	a	2m5	406	FreqP	Y	1
1	a	2m5	390	hd1	Y	1
1	a	2m5	328	DE	Y	1
1	a	2m9	1812	Det+CL	Y	1
1	a	2m9	672	VN	Y	1
1	a	2m9	422	hd4	Y	1
1	a	2m9	812	DE	Y	1
1	a	2m9	1281	hd5	Y	1
1	a	2m9	594	Adv	Y	1
1	a	2m9	422	hd3	Y	1
1	a	2m9	1469	head	Y	1
1	a	2m9	484	hd1	Y	1
1	a	2m9	406	hd2	Y	1
1	a	2m9	703	FreqP	Y	1
1	b	1m10	406	hd2	N	0
1	b	1m10	422	hd5	N	0
1	b	1m10	579	VN	N	0
1	b	1m10	406	hd1	N	0
1	b	1m10	437	DE	N	0
1	b	1m10	360	head	N	0
1	b	1m10	343	Adv	N	0
1	b	1m10	406	hd3	N	0
1	b	1m10	391	Det+CL	N	0
1	b	1m10	360	FreqP	N	0
1	b	1m10	360	hd4	N	0
1	b	1m14	672	head	Y	1
1	b	1m14	454	Adv	Y	1
1	b	1m14	875	hd5	Y	1
1	b	1m14	438	hd4	Y	1
1	b	1m14	1547	FreqP	Y	1
1	b	1m14	406	hd3	Y	1
1	b	1m14	500	Det+CL	Y	1
1	b	1m14	375	hd2	Y	1
1	b	1m14	422	hd1	Y	1
1	b	1m14	546	VN	Y	1
1	b	1m14	984	DE	Y	1
1	b	1m18	657	hd5	N	0
1	b	1m18	203	Adv	N	0
1	b	1m18	218	VN	N	0
1	b	1m18	266	FreqP	N	0
1	b	1m18	313	DE	N	0
1	b	1m18	250	hd4	N	0
1	b	1m18	250	hd2	N	0
1	b	1m18	235	Det+CL	N	0
1	b	1m18	484	hd3	N	0
1	b	1m18	281	head	N	0
1	b	1m18	328	hd1	N	0
1	b	1m2	703	hd2	Y	1
1	b	1m2	625	FreqP	Y	1
1	b	1m2	531	hd1	Y	1
1	b	1m2	469	DE	Y	1
1	b	1m2	594	Adv	Y	1
1	b	1m2	422	hd4	Y	1
1	b	1m2	438	hd3	Y	1
1	b	1m2	422	Det+CL	Y	1
1	b	1m2	719	VN	Y	1
1	b	1m2	453	hd5	Y	1
1	b	1m2	2047	head	Y	1
1	b	1m22	344	hd2	N	0
1	b	1m22	360	hd4	N	0
1	b	1m22	390	head	N	0
1	b	1m22	328	hd3	N	0
1	b	1m22	344	DE	N	0
1	b	1m22	562	VN	N	0
1	b	1m22	547	Adv	N	0
1	b	1m22	391	hd1	N	0
1	b	1m22	484	hd5	N	0
1	b	1m22	391	FreqP	N	0
1	b	1m22	437	Det+CL	N	0
1	b	1m26	406	Adv	Y	1
1	b	1m26	406	Det+CL	Y	1
1	b	1m26	1203	hd5	Y	1
1	b	1m26	531	DE	Y	1
1	b	1m26	391	hd1	Y	1
1	b	1m26	1156	VN	Y	1
1	b	1m26	438	hd2	Y	1
1	b	1m26	390	hd3	Y	1
1	b	1m26	469	hd4	Y	1
1	b	1m26	312	head	Y	1
1	b	1m26	969	FreqP	Y	1
1	b	1m6	500	Det+CL	Y	1
1	b	1m6	469	head	Y	1
1	b	1m6	313	hd4	Y	1
1	b	1m6	468	FreqP	Y	1
1	b	1m6	484	Adv	Y	1
1	b	1m6	2703	hd1	Y	1
1	b	1m6	328	hd2	Y	1
1	b	1m6	344	DE	Y	1
1	b	1m6	375	hd3	Y	1
1	b	1m6	375	hd5	Y	1
1	b	1m6	688	VN	Y	1
1	b	2m10	469	hd2	Y	1
1	b	2m10	813	hd5	Y	1
1	b	2m10	375	head	Y	1
1	b	2m10	375	Adv	Y	1
1	b	2m10	672	hd3	Y	1
1	b	2m10	515	VN	Y	1
1	b	2m10	375	Det+CL	Y	1
1	b	2m10	312	DE	Y	1
1	b	2m10	766	FreqP	Y	1
1	b	2m10	406	hd4	Y	1
1	b	2m10	344	hd1	Y	1
1	b	2m14	390	VN	Y	1
1	b	2m14	406	Adv	Y	1
1	b	2m14	344	hd2	Y	1
1	b	2m14	2032	hd5	Y	1
1	b	2m14	516	FreqP	Y	1
1	b	2m14	625	head	Y	1
1	b	2m14	406	Det+CL	Y	1
1	b	2m14	640	hd1	Y	1
1	b	2m14	422	DE	Y	1
1	b	2m14	375	hd4	Y	1
1	b	2m14	562	hd3	Y	1
1	b	2m18	422	hd2	Y	1
1	b	2m18	1016	Det+CL	Y	1
1	b	2m18	375	hd4	Y	1
1	b	2m18	719	FreqP	Y	1
1	b	2m18	500	hd1	Y	1
1	b	2m18	547	Adv	Y	1
