"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "spillover" "so" "rcpos"
"1" 1 "e1" 3 "c" "0" "教授" "-" 531 NA 1 "1"
"2" 1 "e1" 3 "c" "1" "認識" "-" 455 531 1 "2"
"3" 1 "e1" 3 "c" "2" "的" "-" 424 455 1 "3"
"4" 1 "e1" 3 "c" "3" "作家" "-" 344 424 1 "4"
"5" 1 "e1" 3 "c" "4" "很" "-" 328 344 1 "5"
"6" 1 "e1" 3 "c" "5" "有名" "-" 979 328 1 "-1"
"7" 1 "e1" 3 "c" "6" "著作" "-" 1751 979 1 "-1"
"8" 1 "e1" 3 "c" "7" "也" "-" 515 1751 1 "-1"
"9" 1 "e1" 3 "c" "8" "很多" "-" 4177 515 1 "-1"
"10" 1 "e1" 3 "c" "?" "Y" "1" 11273 4177 1 "-1"
"11" 1 "e1" 15 "c" "0" "明星" "-" 461 11273 1 "1"
"12" 1 "e1" 15 "c" "1" "愛上" "-" 465 461 1 "2"
"13" 1 "e1" 15 "c" "2" "的" "-" 464 465 1 "3"
"14" 1 "e1" 15 "c" "3" "詩人" "-" 480 464 1 "4"
"15" 1 "e1" 15 "c" "4" "充滿" "-" 631 480 1 "5"
"16" 1 "e1" 15 "c" "5" "不切實際" "-" 2124 631 1 "-1"
"17" 1 "e1" 15 "c" "6" "的" "-" 444 2124 1 "-1"
"18" 1 "e1" 15 "c" "7" "幻想" "-" 379 444 1 "-1"
"19" 1 "e1" 15 "c" "8" "整天" "-" 389 379 1 "-1"
"20" 1 "e1" 15 "c" "9" "作" "-" 318 389 1 "-1"
"21" 1 "e1" 15 "c" "10" "白日夢" "-" 439 318 1 "-1"
"22" 1 "e1" 15 "c" "?" "Y" "1" 40255 439 1 "-1"
"35" 1 "e1" 5 "a" "0" "不喜歡" "-" 430 40255 -1 "1"
"36" 1 "e1" 5 "a" "1" "店員" "-" 354 430 -1 "2"
"37" 1 "e1" 5 "a" "2" "的" "-" 369 354 -1 "3"
"38" 1 "e1" 5 "a" "3" "經理" "-" 425 369 -1 "4"
"39" 1 "e1" 5 "a" "4" "站在" "-" 510 425 -1 "5"
"40" 1 "e1" 5 "a" "5" "門口" "-" 1181 510 -1 "-1"
"41" 1 "e1" 5 "a" "6" "找攬" "-" 852 1181 -1 "-1"
"42" 1 "e1" 5 "a" "7" "生意" "-" 2089 852 -1 "-1"
"43" 1 "e1" 5 "a" "?" "Y" "1" 6595 2089 -1 "-1"
