Experiment	ItemId	Sentence	Question	Condition	Correct_Answer	Question_type	List
RCs_SPR_ET	1	*那個*昨晚*揍了*服務生*一頓*的*顧客*聽說過*老闆*並且*記得*他。*	那個顧客聽說過老闆嗎?	a	1	1	1
RCs_SPR_ET	1	*那個*昨晚*服務生*揍了*一頓*的*顧客*聽說過*老闆*並且*記得*他。*	那個顧客聽說過老闆嗎？	b	1	1	2
RCs_SPR_ET	1	*老闆*聽說過*那個*昨晚*揍了*服務生*一頓*的*顧客*並且*通知了*記者。*	那個顧客聽說過老闆嗎？	c	2	1	3
RCs_SPR_ET	1	*老闆*聽說過*那個*昨晚*服務生*揍了*一頓*的*顧客*並且*通知了*記者。*	那個顧客聽說過老闆嗎？	d	2	1	4
RCs_SPR_ET	2	*那輛*下午*追了*摩托車*很久*的*轎車*發現了*記者*所以*停了*下來。*	摩托車追了那輛轎車嗎？	a	2	2	1
RCs_SPR_ET	2	*那輛*下午*摩托車*追了*很久*的*轎車*發現了*記者*所以*停了*下來。*	摩托車追了那輛轎車嗎？	b	1	2	2
RCs_SPR_ET	2	*記者*發現了*那輛*下午*追了*摩托車*很久*的*轎車*所以*停了*下來。*	摩托車追了那輛轎車嗎？	c	2	2	3
RCs_SPR_ET	2	*記者*發現了*那輛*下午*摩托車*追了*很久*的*轎車*所以*停了*下來。*	摩托車追了那輛轎車嗎？	d	1	2	4
RCs_SPR_ET	3	*那個*今天*打了*男孩*幾次*的*女孩*看到了*校長*所以*假裝*讀書。*	女孩打了男孩嗎？	a	1	3	1
RCs_SPR_ET	3	*那個*今天*男孩*打了*幾次*的*女孩*看到了*校長*所以*假裝*讀書。*	女孩打了男孩嗎？	b	2	3	2
RCs_SPR_ET	3	*校長*看到了*那個*今天*打了*男孩*幾次*的*女孩*所以*上前*詢問。*	女孩打了男孩嗎？	c	1	3	3
RCs_SPR_ET	3	*校長*看到了*那個*今天*男孩*打了*幾次*的*女孩*所以*上前*詢問。*	女孩打了男孩嗎？	d	2	3	4
RCs_SPR_ET	4	*那輛*當時*撞了*自行車*兩次*的*吉普車*攔住了*警察*並且*要求*調查清楚。*	警察攔住了吉普車嗎？	a	2	4	1
RCs_SPR_ET	4	*那輛*當時*自行車*撞了*兩次*的*吉普車*攔住了*警察*並且*要求*調查清楚。*	警察攔住了吉普車嗎？	b	2	4	2
RCs_SPR_ET	4	*警察*攔住了*那輛*當時*撞了*自行車*兩次*的*吉普車*並且*要求*調查清楚。*	警察攔住了吉普車嗎？	c	1	4	3
RCs_SPR_ET	4	*警察*攔住了*那輛*當時*自行車*撞了*兩次*的*吉普車*並且*要求*調查清楚。*	警察攔住了吉普車嗎？	d	1	4	4
RCs_SPR_ET	5	*那個*剛才*推了*男孩*一下*的*婦人*偷了*店員*并且*打傷了*她。*	婦人偷了店員嗎？	a	1	1	2
RCs_SPR_ET	5	*那個*剛才*男孩*推了*一下*的*婦人*偷了*店員*并且*打傷了*她。*	婦人偷了店員嗎？	b	1	1	3
RCs_SPR_ET	5	*店員*偷了*那個*剛才*推了*男孩*一下*的*婦人*并且*打傷了*她。*	婦人偷了店員嗎？	c	2	1	4
RCs_SPR_ET	5	*店員*偷了*那個*剛才*男孩*推了*一下*的*婦人*并且*打傷了*她。*	婦人偷了店員嗎？	d	2	1	1
RCs_SPR_ET	6	*那個*上個月*邀請了*男孩*幾次*的*女孩*認識*王老師*因為*上過*她的課。*	男孩邀請了女孩嗎？	a	2	2	2
RCs_SPR_ET	6	*那個*上個月*男孩*邀請了*幾次*的*女孩*認識*王老師*因為*上過*她的課。*	男孩邀請了女孩嗎？	b	1	2	3
RCs_SPR_ET	6	*王老師*認識*那個*上個月*邀請了*男孩*幾次*的*女孩*因為*教過*她的課。*	男孩邀請了女孩嗎？	c	2	2	4
RCs_SPR_ET	6	*王老師*認識*那個*上個月*男孩*邀請了*幾次*的*女孩*因為*教過*她的課。*	男孩邀請了女孩嗎？	d	1	2	1
RCs_SPR_ET	7	*那條*去年*救了*主人*好幾次*的*狗*喜歡*小男孩*所以*很*興奮。*	那條狗救了主人嗎？	a	1	3	2
RCs_SPR_ET	7	*那條*去年*主人*救了*好幾次*的*狗*喜歡*小男孩*所以*很*興奮。*	那條狗救了主人嗎？	b	2	3	3
RCs_SPR_ET	7	*小男孩*喜歡*那條*去年*救了*主人*好幾次*的*狗*所以*很*興奮。*	那條狗救了主人嗎？	c	1	3	4
RCs_SPR_ET	7	*小男孩*喜歡*那條*去年*主人*救了*好幾次*的*狗*所以*很*興奮。*	那條狗救了主人嗎？	d	2	3	1
RCs_SPR_ET	8	*那個*剛才*推了*職業選手*一下*的*業餘選手*罵了*裁判*而且*威脅了*他。*	裁判罵了那個業餘選手嗎？	a	2	4	2
RCs_SPR_ET	8	*那個*剛才*職業選手*推了*一下*的*業餘選手*罵了*裁判*而且*威脅了*他。*	裁判罵了那個業餘選手嗎？	b	2	4	3
RCs_SPR_ET	8	*裁判*罵了*那個*剛才*推了*職業選手*一下*的*業餘選手*而且*警告了*他。*	裁判罵了那個業餘選手嗎？	c	1	4	4
RCs_SPR_ET	8	*裁判*罵了*那個*剛才*職業選手*推了*一下*的*業餘選手*而且*警告了*他。*	裁判罵了那個業餘選手嗎？	d	1	4	1
RCs_SPR_ET	9	*這個*上個月*監視了*殺手*一段時間*的*偵探*討厭*當地人*所以*沒有*尋求幫助。*	這個偵探討厭當地人嗎？	a	1	1	3
RCs_SPR_ET	9	*這個*上個月*殺手*監視了*一段時間*的*偵探*討厭*當地人*所以*沒有*尋求幫助。*	這個偵探討厭當地人嗎？	b	1	1	4
RCs_SPR_ET	9	*當地人*討厭*這個*上個月*監視了*殺手*一段時間*的*偵探*所以*沒有*提供幫助。*	這個偵探討厭當地人嗎？	c	2	1	1
RCs_SPR_ET	9	*當地人*討厭*這個*上個月*殺手*監視了*一段時間*的*偵探*所以*沒有*提供幫助。*	這個偵探討厭當地人嗎？	d	2	1	2
RCs_SPR_ET	10	*那位*最近*抱怨了*房東*好多次*的*住戶*找了*律師*而且*打算*起訴。*	房東多次抱怨了住戶嗎？	a	2	2	3
RCs_SPR_ET	10	*那位*最近*房東*抱怨了*好多次*的*住戶*找了*律師*而且*打算*起訴。*	房東多次抱怨了住戶嗎？	b	1	2	4
RCs_SPR_ET	10	*律師*找了*那位*最近*抱怨了*房東*好多次*的*住戶*而且*打算*起訴。*	房東多次抱怨了住戶嗎？	c	2	2	1
RCs_SPR_ET	10	*律師*找了*那位*最近*房東*抱怨了*好多次*的*住戶*而且*打算*起訴。*	房東多次抱怨了住戶嗎？	d	1	2	2
RCs_SPR_ET	11	*那個*上個月*罵了*教練*一頓*的*球員*愛上了*女歌星*還*送她*禮物。*	球員上個月罵了教練嗎？	a	1	3	3
RCs_SPR_ET	11	*那個*上個月*教練*罵了*一頓*的*球員*愛上了*女歌星*還*送她*禮物。*	球員上個月罵了教練嗎？	b	2	3	4
RCs_SPR_ET	11	*女歌星*愛上了*那個*上個月*罵了*教練*一頓*的*球員*還*送他*禮物。*	球員上個月罵了教練嗎？	c	1	3	1
RCs_SPR_ET	11	*女歌星*愛上了*那個*上個月*教練*罵了*一頓*的*球員*還*送他*禮物。*	球員上個月罵了教練嗎？	d	2	3	2
RCs_SPR_ET	12	*那位*以前*崇拜了*指揮家*很久*的*作曲家*結識了*小提琴手*並且*兩人*常見面。*	小提琴手崇拜了指揮家很久嗎？	a	2	4	3
RCs_SPR_ET	12	*那位*以前*指揮家*崇拜了*很久*的*作曲家*結識了*小提琴手*並且*兩人*常見面。*	小提琴手崇拜了指揮家很久嗎？	b	2	4	4
RCs_SPR_ET	12	*小提琴手*結識了*那位*以前*崇拜了*指揮家*很久*的*作曲家*並且*兩人*常見面。*	小提琴手結識了作曲家嗎？	c	1	4	1
RCs_SPR_ET	12	*小提琴手*結識了*那位*以前*指揮家*崇拜了*很久*的*作曲家*並且*兩人*常見面。*	小提琴手結識了作曲家嗎？	d	1	4	2
RCs_SPR_ET	13	*這個*去年*批評了*電影局*幾次*的*女演員*很欣賞*金城武*因為*他*個性坦率。*	這個女演員很欣賞金城武嗎？	a	1	1	4
RCs_SPR_ET	13	*這個*去年*電影局*批評了*幾次*的*女演員*很欣賞*金城武*因為*他*個性坦率。*	這個女演員很欣賞金城武嗎？	b	1	1	1
RCs_SPR_ET	13	*金城武*很欣賞*這個*去年*批評了*電影局*幾次*的*女演員*因為*她*個性坦率。*	這個女演員很欣賞金城武嗎？	c	2	1	2
RCs_SPR_ET	13	*金城武*很欣賞*這個*去年*電影局*批評了*幾次*的*女演員*因為*她*個性坦率。*	這個女演員很欣賞金城武嗎？	d	2	1	3
RCs_SPR_ET	14	*那位*上個月*約了*飛行員*兩次*的*空姐*惹怒了*經理*因為*她*常遲到。*	那位飛行員上個月約過空姐嗎？	a	2	2	4
RCs_SPR_ET	14	*那位*上個月*飛行員*約了*兩次*的*空姐*惹怒了*經理*因為*她*常遲到。*	那位飛行員上個月約過空姐嗎？	b	1	2	1
RCs_SPR_ET	14	*經理*惹怒了*那位*上個月*約了*飛行員*兩次*的*空姐*因為*他*常冷嘲熱諷。*	那位飛行員上個月約過空姐嗎？	c	2	2	2
RCs_SPR_ET	14	*經理*惹怒了*那位*上個月*飛行員*約了*兩次*的*空姐*因為*他*常冷嘲熱諷。*	那位飛行員上個月約過空姐嗎？	d	1	2	3
RCs_SPR_ET	15	*這位*今天*稱讚了*導演*多次*的*男明星*批評了*影評家*並且*表示*很難過。*	男明星今天多次稱讚了導演嗎？	a	1	3	4
RCs_SPR_ET	15	*這位*今天*導演*稱讚了*多次*的*男明星*批評了*影評家*並且*表示*很難過。*	男明星今天多次稱讚了導演嗎？	b	2	3	1
RCs_SPR_ET	15	*影評家*批評了*這位*今天*稱讚了*導演*多次*的*男明星*並且*表示*很難過。*	男明星今天多次稱讚了導演嗎？	c	1	3	2
RCs_SPR_ET	15	*影評家*批評了*這位*今天*導演*稱讚了*多次*的*男明星*並且*表示*很難過。*	男明星今天多次稱讚了導演嗎？	d	2	3	3
RCs_SPR_ET	16	*那位*昨天*採訪了*作家*兩個小時*的*記者*質疑了*縣長候選人*而且*揚言*報復。*	那位縣長候選人昨天質疑了記者嗎？	a	2	4	4
RCs_SPR_ET	16	*那位*昨天*作家*採訪了*兩個小時*的*記者*質疑了*縣長候選人*而且*揚言*報復。*	那位縣長候選人昨天質疑了記者嗎？	b	2	4	1
RCs_SPR_ET	16	*縣長候選人*質疑了*那位*昨天*採訪了*作家*兩個小時*的*記者*而且*揚言*報復。*	那位縣長候選人昨天質疑了記者嗎？	c	1	4	2
RCs_SPR_ET	16	*縣長候選人*質疑了*那位*昨天*作家*採訪了*兩個小時*的*記者*而且*揚言*報復。*	那位縣長候選人昨天質疑了記者嗎？	d	1	4	3
RCs_ET	17	*那個*今早*追了*犯人*一時*的*小狗*嗅出*主人*並且*停了下來。*	那個小狗嗅出主人嗎?	a	1	1	1
RCs_ET	17	*那個*今早*犯人*追了*一時*的*小狗*嗅出*主人*並且*停了下來。*	那個小狗嗅出主人嗎?	b	1	1	2
RCs_ET	17	*主人*嗅出*那個*今早*追了*犯人*一時*的*小狗*並且*停了下來。*	那個小狗嗅出主人嗎?	c	2	1	3
RCs_ET	17	*主人*嗅出*那個*今早*犯人*追了*一時*的*小狗*並且*停了下來。*	那個小狗嗅出主人嗎?	d	2	1	4
RCs_ET	18	*那位*昨天*教訓了*鄰居*一番*的*媽媽*通知*管理員*然後*報了怨。*	那位媽媽通知管理員嗎?	a	1	1	2
RCs_ET	18	*那位*昨天*鄰居*教訓了*一番*的*媽媽*通知*管理員*然後*報了怨。*	那位媽媽通知管理員嗎?	b	1	1	3
RCs_ET	18	*管理員*通知*那位*昨天*教訓了*鄰居*一番*的*媽媽*然後*報了怨。*	那位媽媽通知管理員嗎?	c	2	1	4
RCs_ET	18	*管理員*通知*那位*昨天*鄰居*教訓了*一番*的*媽媽*然後*報了怨。*	那位媽媽通知管理員嗎?	d	2	1	1
RCs_ET	19	*這位*去年*密談了*外交部*一次*的*政治家*附議*外交官*並且*相信他。*	這位政治家附議外交官嗎?	a	1	1	3
RCs_ET	19	*這位*去年*外交部*密談了*一次*的*政治家*附議*外交官*並且*相信他。*	這位政治家附議外交官嗎?	b	1	1	4
RCs_ET	19	*外交官*附議*這位*去年*密談了*外交部*一次*的*政治家*並且*相信他。*	這位政治家附議外交官嗎?	c	2	1	1
RCs_ET	19	*外交官*附議*這位*去年*外交部*密談了*一次*的*政治家*並且*相信他。*	這位政治家附議外交官嗎?	d	2	1	2
RCs_ET	20	*那個*今年*批評了*作家*一番*的*評論家*洽詢*出版商*而且*建議出版內容。*	那個評論家洽詢出版商嗎?	a	1	1	4
RCs_ET	20	*那個*今年*作家*批評了*一番*的*評論家*洽詢*出版商*而且*建議出版內容。*	那個評論家洽詢出版商嗎?	b	1	1	1
RCs_ET	20	*出版商*洽詢*那個*今年*批評了*作家*一番*的*評論家*而且*建議出版內容。*	那個評論家洽詢出版商嗎?	c	2	1	2
RCs_ET	20	*出版商*洽詢*那個*今年*作家*批評了*一番*的*評論家*而且*建議出版內容。*	那個評論家洽詢出版商嗎?	d	2	1	3
RCs_ET	21	*那位*下午*稱讚了*學生*多次*的*老師*認出*家長*然後*打招呼。*	那位學生稱讚了老師嗎?	a	2	2	1
RCs_ET	21	*那位*下午*學生*稱讚了*多次*的*老師*認出*家長*然後*打招呼。*	那位學生稱讚了老師嗎?	b	1	2	2
